SMILES,NAME,i_m_ct_format,i_sd_PUBCHEM\_COMPOUND\_CID,s_sd_PUBCHEM\_IUPAC\_INCHI,s_sd_PUBCHEM\_IUPAC\_INCHIKEY,r_sd_PUBCHEM\_EXACT\_MASS,s_sd_PUBCHEM\_MOLECULAR\_FORMULA,r_sd_PUBCHEM\_MOLECULAR\_WEIGHT,r_sd_PUBCHEM\_CACTVS\_TPSA,i_sd_Reference_for_HalfLife\_AID\_num,i_sd_Stable,r_sd_Half-Life_in_MLM_minutes,s_sd_PUBCHEM\_IUPAC\_NAME,s_sd_PUBCHEM\_IUPAC\_TRADITIONAL\_NAME,b_sd_chiral_flag,i_sd_version,s_m_source_file,i_m_source_file_index,i_lp_mmshare_version,i_f3d_flags,s_epik_input,s_epik_cmdline,r_lp_tautomer_probability,r_epik_Ionization_Penalty,r_epik_Ionization_Penalty_Charging,r_epik_Ionization_Penalty_Neutral,r_epik_State_Penalty,r_epik_Charging_Adjusted_Penalty,i_epik_Tot_Q,i_epik_Tot_abs_Q,s_st_EZ_1,s_st_EZ_2,s_lp_Force_Field,r_lp_Energy,b_lp_Chiralities_Consistent,s_lp_Variant,r_mmod_Potential_Energy-S-OPLS,r_mmod_Stretch_Energy-S-OPLS,r_mmod_Bend_Energy-S-OPLS,r_mmod_Torsional_Energy-S-OPLS,r_mmod_Improper_Torsional_Energy-S-OPLS,r_mmod_Van_der_Waal_Energy-S-OPLS,r_mmod_Electrostatic_Energy-S-OPLS,r_mmod_Solvation_Energy-S-OPLS,b_mmod_Minimization_Converged-S-OPLS,r_mmod_RMS_Derivative-S-OPLS,i_sd_Name,r_sd_PUBCHEM\_XLOGP3\_AA,s_sd_Qualifier_for_MLM_HalfLife,s_epik_Chemistry_Notes,i_qp_#stars,i_qp_#amine,i_qp_#amidine,i_qp_#acid,i_qp_#amide,i_qp_#rotor,i_qp_#rtvFG,i_qp_CNS,r_qp_mol_MW,r_qp_dipole,r_qp_SASA,r_qp_FOSA,r_qp_FISA,r_qp_PISA,r_qp_WPSA,r_qp_volume,r_qp_donorHB,r_qp_accptHB,r_qp_dip^2/V,r_qp_ACxDN^.5/SA,r_qp_glob,r_qp_QPpolrz,r_qp_QPlogPC16,r_qp_QPlogPoct,r_qp_QPlogPw,r_qp_QPlogPo/w,r_qp_QPlogS,r_qp_CIQPlogS,r_qp_QPlogHERG,r_qp_QPPCaco,r_qp_QPlogBB,r_qp_QPPMDCK,r_qp_QPlogKp,r_qp_IP(eV),r_qp_EA(eV),i_qp_#metab,r_qp_QPlogKhsa,i_qp_HumanOralAbsorption,r_qp_PercentHumanOralAbsorption,r_qp_SAfluorine,r_qp_SAamideO,r_qp_PSA,i_qp_#NandO,i_qp_RuleOfFive,i_qp_RuleOfThree,i_qp_#ringatoms,i_qp_#in34,i_qp_#in56,i_qp_#noncon,i_qp_#nonHatm,r_qp_Jm
c1ccc(C(F)(F)F)c(c12)nc(C(F)(F)F)cc2[C@@H](O)Cn3ccnc3C(C)C,46233019,2,46233019,"InChI=1S/C19H17F6N3O/c1-10(2)17-26-6-7-28(17)9-14(29)12-8-15(19(23,24)25)27-16-11(12)4-3-5-13(16)18(20,21)22/h3-8,10,14,29H,9H2,1-2H3",NGOKTPCVOHAXIR-UHFFFAOYSA-N,417.127581,C19H17F6N3O,417.348199,50.9,457908,0,10.0,"1-[2,8-bis(trifluoromethyl)quinolin-4-yl]-2-(2-propan-2-ylimidazol-1-yl)ethanol","1-[2,8-bis(trifluoromethyl)-4-quinolyl]-2-(2-isopropylimidazol-1-yl)ethanol",1,0,ligprep_3.sdf,121,55137,0,W2NIXTFbY0hdW2NIXWMoQyhGKShGKUYpYyhjMTIpbmMoQyhGKShGKUYpW2NIXWMyW0NAQEhdKFtPSF0pW0NIMl1uM2MoW0NIXShbQ0gzXSlbQ0gzXSluW2NIXVtjSF0z,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,1.0,1.0599,1.0599,0.0,1.1135,2.1734475062799,0,0,,,S-OPLS,25.343287,1,46233019-3,69.6491622924805,20.1136360168457,30.7875785827637,-17.0163249969482,0.120158962905407,73.6432495117188,-2.07613229751587,-35.9230041503906,1,0.042842335999012,46233019,4.0,,,2,0,0,0,0,5,0,1,417.353,8.468,585.832,146.233,54.977,182.119,202.503,1136.502,1.0,4.2,0.0630998,0.0071693,0.8990258,37.858,9.503,17.779,7.311,5.288,-5.503,-6.928,-4.034,2982.296,0.306,10000.0,-1.411,9.377,2.029,2,0.708,3,100.0,202.503,0.0,42.505,4,1,0,15,0,15,0,29,0.0508191124372139
c1ccc(C(F)(F)F)c(c12)nc(C(F)(F)F)cc2[C@@H](O)Cn3ccnc3CCC,46233018,2,46233018,"InChI=1S/C19H17F6N3O/c1-2-4-16-26-7-8-28(16)10-14(29)12-9-15(19(23,24)25)27-17-11(12)5-3-6-13(17)18(20,21)22/h3,5-9,14,29H,2,4,10H2,1H3",AQTJRCXTFQZPAD-UHFFFAOYSA-N,417.127581,C19H17F6N3O,417.348199,50.9,457908,0,8.0,"1-[2,8-bis(trifluoromethyl)quinolin-4-yl]-2-(2-propylimidazol-1-yl)ethanol","1-[2,8-bis(trifluoromethyl)-4-quinolyl]-2-(2-propylimidazol-1-yl)ethanol",1,0,ligprep_3.sdf,122,55137,0,W2NIXTFbY0hdW2NIXWMoQyhGKShGKUYpYyhjMTIpbmMoQyhGKShGKUYpW2NIXWMyW0NAQEhdKFtPSF0pW0NIMl1uM2MobltjSF1bY0hdMylbQ0gyXVtDSDJdW0NIM10=,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,1.0,1.2242,1.2242,0.0,1.2917,2.51586247022001,0,0,,,S-OPLS,28.416262,1,46233018-3,79.1991271972656,19.8931579589844,27.2736053466797,-29.3430042266846,0.02390156686306,87.6802444458008,15.5619239807129,-41.890697479248,1,0.0464840531349182,46233018,4.1,,,3,0,0,0,0,6,0,1,417.353,4.258,655.518,182.654,47.949,205.08,219.835,1167.012,1.0,4.2,0.0155359,0.0064072,0.8177697,38.656,9.642,17.181,7.373,5.595,-6.66,-6.928,-5.459,3476.934,0.263,10000.0,-1.105,9.246,2.18,2,0.721,1,100.0,219.835,0.0,42.682,4,1,1,15,0,15,0,29,0.00716696957004576
c1ccc(C(F)(F)F)c(c12)nc(C(F)(F)F)cc2[C@H](O)Cn(c(n3)CC)cc3C,46233017,2,46233017,"InChI=1S/C19H17F6N3O/c1-3-16-26-10(2)8-28(16)9-14(29)12-7-15(19(23,24)25)27-17-11(12)5-4-6-13(17)18(20,21)22/h4-8,14,29H,3,9H2,1-2H3",VPFPNHVXCIERAP-UHFFFAOYSA-N,417.127581,C19H17F6N3O,417.348199,50.9,457908,0,22.0,"1-[2,8-bis(trifluoromethyl)quinolin-4-yl]-2-(2-ethyl-4-methylimidazol-1-yl)ethanol","1-[2,8-bis(trifluoromethyl)-4-quinolyl]-2-(2-ethyl-4-methyl-imidazol-1-yl)ethanol",1,0,ligprep_3.sdf,123,55137,0,W2NIXTFbY0hdW2NIXWMoQyhGKShGKUYpYyhjMTIpbmMoQyhGKShGKUYpW2NIXWMyW0NASF0oW09IXSlbQ0gyXW4zYyhbQ0gyXVtDSDNdKW5jKFtjSF0zKVtDSDNd,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,1.0,1.9363,1.9363,0.0,2.0603,3.99662742822146,0,0,,,S-OPLS,24.045749,1,46233017-4,27.4940032958984,19.4121036529541,29.0480060577393,-24.2114734649658,0.0347760170698166,82.5986633300781,-40.2139282226563,-39.174144744873,1,0.0407574512064457,46233017,4.1,,,3,0,0,0,0,5,0,1,417.353,4.47,660.082,238.689,48.572,152.054,220.767,1170.511,1.0,4.2,0.017074,0.0063628,0.8137378,38.931,9.301,17.239,7.248,5.553,-6.909,-6.928,-5.271,3429.965,0.315,10000.0,-1.399,9.124,2.168,3,0.771,1,100.0,220.767,0.0,42.869,4,1,1,15,0,15,0,29,0.00205176597285543
c1ccc(C(F)(F)F)c(c12)nc(C(F)(F)F)cc2[C@H](O)C[NH2+]C(C)C,46232358,2,46232358,"InChI=1S/C16H16F6N2O/c1-8(2)23-7-12(25)10-6-13(16(20,21)22)24-14-9(10)4-3-5-11(14)15(17,18)19/h3-6,8,12,23,25H,7H2,1-2H3",GHJPGPNNFIPPNV-UHFFFAOYSA-N,366.116682,C16H16F6N2O,366.301459,45.2,457908,1,60.0,"1-[2,8-bis(trifluoromethyl)quinolin-4-yl]-2-(propan-2-ylamino)ethanol","1-[2,8-bis(trifluoromethyl)-4-quinolyl]-2-(isopropylamino)ethanol",1,0,ligprep_3.sdf,124,55137,0,W2NIXTFbY0hdW2NIXWMoQyhGKShGKUYpYyhjMTIpbmMoQyhGKShGKUYpW2NIXWMyW0NASF0oW09IXSlbQ0gyXVtOSF1bQ0hdKFtDSDNdKVtDSDNd,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,,0.0024,0.0024,0.0,0.0016,0.00403529348666731,1,1,,,S-OPLS,31.617957,1,46232358-2,62.4115676879883,19.2636985778809,17.8258323669434,-17.8180599212646,0.00761733343824744,93.9613265991211,179.673858642578,-230.502700805664,1,0.0366981849074364,46232358,3.5,>,,2,1,0,0,0,5,0,2,366.306,7.917,593.36,209.883,43.286,120.289,219.902,1039.151,2.0,4.2,0.0603101,0.0100103,0.8361791,33.371,8.028,17.305,8.3,4.027,-4.385,-4.441,-5.483,960.104,0.788,8389.596,-3.476,9.465,1.77,2,0.363,3,100.0,219.902,0.0,40.837,3,0,0,10,0,10,0,25,0.00504709348423924
c1ccc(C(F)(F)F)c(c12)nc(C(F)(F)F)cc2[C@@H](O)C[NH2+]CC(C)C,23004029,2,23004029,"InChI=1S/C17H18F6N2O/c1-9(2)7-24-8-13(26)11-6-14(17(21,22)23)25-15-10(11)4-3-5-12(15)16(18,19)20/h3-6,9,13,24,26H,7-8H2,1-2H3",RHNLVGHNUAPSRA-UHFFFAOYSA-N,380.132333,C17H18F6N2O,380.328039,45.2,457908,0,27.0,"1-[2,8-bis(trifluoromethyl)quinolin-4-yl]-2-(2-methylpropylamino)ethanol","1-[2,8-bis(trifluoromethyl)-4-quinolyl]-2-(isobutylamino)ethanol",1,0,ligprep_3.sdf,125,55137,0,W2NIXTFbY0hdW2NIXWMoQyhGKShGKUYpYyhjMTIpbmMoQyhGKShGKUYpW2NIXWMyW0NAQEhdKFtPSF0pW0NIMl1bTkhdW0NIMl1bQ0hdKFtDSDNdKVtDSDNd,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,,0.003,0.003,0.0,0.0021,0.00515856547177518,1,1,,,S-OPLS,33.283058,1,23004029-1,112.141403198242,19.8270034790039,20.0065784454346,-17.295654296875,0.0120185436680913,94.7321929931641,223.348968505859,-228.489700317383,1,0.0399160869419575,23004029,4.0,,,2,1,0,0,0,6,0,2,380.332,6.758,612.764,234.04,45.381,119.251,214.091,1092.854,2.0,4.2,0.041796,0.0096933,0.8373619,34.868,8.59,17.541,8.131,4.325,-4.533,-4.724,-5.459,917.169,0.694,7420.487,-3.422,9.399,1.918,2,0.463,3,100.0,214.091,0.0,40.474,3,0,0,10,0,10,0,26,0.00421900680633915
c1ccc(C(F)(F)F)c(c12)nc(C(F)(F)F)cc2[C@@H](O)C[NH2+]C,23004022,2,23004022,"InChI=1S/C14H12F6N2O/c1-21-6-10(23)8-5-11(14(18,19)20)22-12-7(8)3-2-4-9(12)13(15,16)17/h2-5,10,21,23H,6H2,1H3",SXHYASJCSPRVCT-UHFFFAOYSA-N,338.085382,C14H12F6N2O,338.248299,45.2,457908,1,60.0,"1-[2,8-bis(trifluoromethyl)quinolin-4-yl]-2-(methylamino)ethanol","1-[2,8-bis(trifluoromethyl)-4-quinolyl]-2-(methylamino)ethanol",1,0,ligprep_3.sdf,126,55137,0,W2NIXTFbY0hdW2NIXWMoQyhGKShGKUYpYyhjMTIpbmMoQyhGKShGKUYpW2NIXWMyW0NAQEhdKFtPSF0pW0NIMl1bTkhdW0NIM10=,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,,0.0094,0.0094,0.0,0.0071,0.0165344245472487,1,1,,,S-OPLS,33.067529,1,23004022-1,103.429466247559,19.0812129974365,20.1227626800537,-18.4953422546387,0.00324450759217143,93.0935821533203,242.766815185547,-253.142791748047,1,0.0283467322587967,23004022,2.7,>,,2,1,0,0,0,4,0,2,338.252,6.945,535.673,138.2,54.982,122.743,219.747,924.05,2.0,4.2,0.052196,0.0110883,0.8565033,29.43,7.072,15.946,8.478,3.245,-3.561,-3.878,-5.165,743.714,0.761,6353.474,-3.779,9.464,1.918,2,0.118,3,100.0,219.747,0.0,43.015,3,0,0,10,0,10,0,23,0.0154456473400183
c1ccc(C(F)(F)F)c(c12)nc(C(F)(F)F)cc2[C@H](O)[C@H]3CCCC[NH2+]3,4046,2,4046,"InChI=1S/C17H16F6N2O/c18-16(19,20)11-5-3-4-9-10(15(26)12-6-1-2-7-24-12)8-13(17(21,22)23)25-14(9)11/h3-5,8,12,15,24,26H,1-2,6-7H2",XEEQGYMUWCZPDN-UHFFFAOYSA-N,378.116682,C17H16F6N2O,378.312159,45.2,457908,1,60.0,"[2,8-bis(trifluoromethyl)quinolin-4-yl]-piperidin-2-ylmethanol","[2,8-bis(trifluoromethyl)-4-quinolyl]-(2-piperidyl)methanol",1,0,ligprep_3.sdf,127,55137,0,W2NIXTFbY0hdW2NIXWMoQyhGKShGKUYpYyhjMTIpbmMoQyhGKShGKUYpW2NIXWMyW0NASF0oW09IXSlbQ0BASF0zW05IXVtDSDJdW0NIMl1bQ0gyXVtDSDJdMw==,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,,0.0035,0.0035,0.0,0.0025,0.00597169125461684,1,1,,,S-OPLS,37.632049,1,4046-3,160.901901245117,21.4788150787354,17.7213897705078,-13.8932361602783,0.0199099853634834,101.862968444824,271.74755859375,-238.035522460938,1,0.0468698851764202,4046,3.6,>,,2,1,0,0,0,3,0,2,378.317,7.609,590.153,193.436,54.448,121.994,220.276,1034.759,2.0,4.2,0.0559485,0.0100647,0.8383531,34.496,8.079,17.772,8.821,3.927,-4.657,-4.719,-5.456,752.443,0.805,6477.13,-3.868,9.382,1.916,1,0.438,3,100.0,220.276,0.0,42.283,3,0,0,16,0,16,5,26,0.00113095655026996
c1cccc2[nH]c(c3c12)C(C(=O)OC(C)C)=CN(CC3(C)C)C(=O)c4cc(ccc4)OCC[NH+](CC5)CCN5C,45105052,2,45105052,"InChI=1S/C32H40N4O4/c1-22(2)40-31(38)26-20-36(21-32(3,4)28-25-11-6-7-12-27(25)33-29(26)28)30(37)23-9-8-10-24(19-23)39-18-17-35-15-13-34(5)14-16-35/h6-12,19-20,22,33H,13-18,21H2,1-5H3",NAYHXMGKHBSSPS-UHFFFAOYSA-N,544.304956,C32H40N4O4,544.6844,78.1,460833,0,9.0,"propan-2-yl 1,1-dimethyl-3-[3-[2-(4-methylpiperazin-1-yl)ethoxy]benzoyl]-2,6-dihydroazepino[4,5-b]indole-5-carboxylate","1,1-dimethyl-3-[3-[2-(4-methylpiperazino)ethoxy]benzoyl]-2,6-dihydroazepin[4,5-b]indole-5-carboxylic acid isopropyl ester",0,0,ligprep_3.sdf,128,55137,0,W2NIXTFbY0hdW2NIXVtjSF1jMmMxW25IXWMoYzIzKUMoQyg9TylPW0NIXShbQ0gzXSlbQ0gzXSk9W0NIXU4oW0NIMl1DMyhbQ0gzXSlbQ0gzXSlDKD1PKWM0W2NIXWMoW2NIXVtjSF1bY0hdNClPW0NIMl1bQ0gyXU41W0NIMl1bQ0gyXU4oW0NIM10pW0NIMl1bQ0gyXTU=,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,,0.1369,0.1357,0.0012,1.0107,1.14634631167574,1,1,,,S-OPLS,90.757447,1,45105052-2,246.936233520508,40.0729331970215,87.2355117797852,68.6912460327148,0.465358555316925,163.924697875977,164.824432373047,-278.277954101563,1,0.0473555512726307,45105052,4.7,,This compound has an ester and may undergo hydrolysis at high or low pH.,0,2,0,0,0,7,1,1,544.692,6.688,930.023,580.48,88.929,260.615,0.0,1757.204,0.0,8.75,0.025458,0.0,0.757215,62.163,17.278,25.629,11.41,5.134,-5.681,-5.356,-8.156,88.387,-0.095,43.983,-5.694,8.025,0.864,3,1.081,2,65.923,0.0,0.0,86.21,8,2,0,26,0,21,6,40,2.29927868380141e-06
c1cccc2[nH]c(c3c12)C(C(=O)OC(C)C)=CN(CC3(C)C)C(=O)c4cc(ccc4)OCC[NH+]5CCOCC5,45105051,2,45105051,"InChI=1S/C31H37N3O5/c1-21(2)39-30(36)25-19-34(20-31(3,4)27-24-10-5-6-11-26(24)32-28(25)27)29(35)22-8-7-9-23(18-22)38-17-14-33-12-15-37-16-13-33/h5-11,18-19,21,32H,12-17,20H2,1-4H3",FSWCYNXTZCNFIO-UHFFFAOYSA-N,531.273321,C31H37N3O5,531.64258,84.1,460833,0,2.0,"propan-2-yl 1,1-dimethyl-3-[3-(2-morpholin-4-ylethoxy)benzoyl]-2,6-dihydroazepino[4,5-b]indole-5-carboxylate","1,1-dimethyl-3-[3-(2-morpholinoethoxy)benzoyl]-2,6-dihydroazepin[4,5-b]indole-5-carboxylic acid isopropyl ester",0,0,ligprep_3.sdf,129,55137,0,W2NIXTFbY0hdW2NIXVtjSF1jMmMxW25IXWMoYzIzKUMoQyg9TylPW0NIXShbQ0gzXSlbQ0gzXSk9W0NIXU4oW0NIMl1DMyhbQ0gzXSlbQ0gzXSlDKD1PKWM0W2NIXWMoW2NIXVtjSF1bY0hdNClPW0NIMl1bQ0gyXU41W0NIMl1bQ0gyXU9bQ0gyXVtDSDJdNQ==,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,1.0,1.3492,1.3492,0.0,1.4272,2.77639726387239,1,1,,,S-OPLS,72.918623,1,45105051-2,118.313163757324,36.5733261108398,79.3484344482422,35.3605613708496,0.835020124912262,141.738082885742,118.375213623047,-293.91748046875,1,0.0465456806123257,45105051,4.5,,This compound has an ester and may undergo hydrolysis at high or low pH.,0,1,0,0,0,7,1,1,531.65,3.075,785.133,440.764,75.831,268.538,0.0,1599.415,0.0,8.45,0.0059107,0.0,0.8424208,55.924,15.272,23.341,10.73,4.877,-4.312,-6.266,-6.089,471.73,-0.172,242.958,-3.362,8.138,0.931,3,0.704,3,90.398,0.0,0.0,88.461,8,1,0,26,0,21,6,39,0.0112733200933093
c1cccc2[nH]c(c3c12)C(C(=O)OC(C)C)=CN(CC3(C)C)C(=O)c4cc(ccc4)OCCN5CCCCC5,45105050,2,45105050,"InChI=1S/C32H39N3O4/c1-22(2)39-31(37)26-20-35(21-32(3,4)28-25-13-6-7-14-27(25)33-29(26)28)30(36)23-11-10-12-24(19-23)38-18-17-34-15-8-5-9-16-34/h6-7,10-14,19-20,22,33H,5,8-9,15-18,21H2,1-4H3",GFLFHROFABIEBB-UHFFFAOYSA-N,529.294057,C32H39N3O4,529.66976,74.9,460833,0,5.0,"propan-2-yl 1,1-dimethyl-3-[3-(2-piperidin-1-ylethoxy)benzoyl]-2,6-dihydroazepino[4,5-b]indole-5-carboxylate","1,1-dimethyl-3-[3-(2-piperidinoethoxy)benzoyl]-2,6-dihydroazepin[4,5-b]indole-5-carboxylic acid isopropyl ester",0,0,ligprep_3.sdf,130,55137,0,W0NIMl0xW0NIMl1bQ0gyXVtDSDJdW0NIMl1OMVtDSDJdW0NIMl1PYyhbY0hdW2NIXVtjSF0yKVtjSF1jMkMoPU8pTihbQ0gyXUMzKFtDSDNdKVtDSDNdKVtDSF09QyhDKD1PKU9bQ0hdKFtDSDNdKVtDSDNdKWMoYzM0KVtuSF1jNWM0W2NIXVtjSF1bY0hdW2NIXTU=,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,1.0,2.3055,0.0,2.3055,2.4566,2.45658821692804,0,0,,,S-OPLS,73.489729,1,45105050-2,91.2822265625,38.4147529602051,75.3178253173828,34.3221244812012,0.23773367702961,165.854644775391,-139.581939697266,-83.2829208374023,1,0.0495834425091743,45105050,5.7,,This compound has an ester and may undergo hydrolysis at high or low pH.,2,1,0,0,0,7,1,1,529.678,8.071,914.978,568.67,77.596,268.713,0.0,1722.886,0.0,6.75,0.0378064,0.0,0.7596122,60.867,16.922,24.222,9.381,6.499,-7.663,-6.948,-7.429,453.9,-0.356,233.047,-3.394,7.951,0.826,3,1.517,1,86.634,0.0,0.0,81.996,7,2,1,26,0,21,7,39,4.65421676933448e-06
CN(C)CCOc(ccc1)cc1C(=O)N(CC2(C)C)C=C(C(=O)OC(C)C)c(c2c34)[nH]c3cccc4,45104952,2,45104952,"InChI=1S/C29H35N3O4/c1-19(2)36-28(34)23-17-32(27(33)20-10-9-11-21(16-20)35-15-14-31(5)6)18-29(3,4)25-22-12-7-8-13-24(22)30-26(23)25/h7-13,16-17,19,30H,14-15,18H2,1-6H3",QIWSBARWQJTSAO-UHFFFAOYSA-N,489.262757,C29H35N3O4,489.6059,74.9,460833,0,8.0,"propan-2-yl 3-[3-[2-(dimethylamino)ethoxy]benzoyl]-1,1-dimethyl-2,6-dihydroazepino[4,5-b]indole-5-carboxylate","3-[3-[2-(dimethylamino)ethoxy]benzoyl]-1,1-dimethyl-2,6-dihydroazepin[4,5-b]indole-5-carboxylic acid isopropyl ester",0,0,ligprep_3.sdf,131,55137,0,W2NIXTFbY0hdW2NIXVtjSF1jMmMxW25IXWMoYzIzKUMoQyg9TylPW0NIXShbQ0gzXSlbQ0gzXSk9W0NIXU4oW0NIMl1DMyhbQ0gzXSlbQ0gzXSlDKD1PKWM0W2NIXWMoW2NIXVtjSF1bY0hdNClPW0NIMl1bQ0gyXU4oW0NIM10pW0NIM10=,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,1.0,1.8925,0.0,1.8925,2.0131,2.0130972456408,0,0,,,S-OPLS,67.364836,1,45104952-2,128.343399047852,35.4717407226563,77.4347457885742,52.189697265625,0.39962175488472,128.8369140625,-98.5903701782227,-67.3989486694336,1,0.0389159806072712,45104952,4.9,,This compound has an ester and may undergo hydrolysis at high or low pH.,0,1,0,0,0,7,1,1,489.613,3.182,759.903,426.46,75.626,257.816,0.0,1518.906,0.0,6.75,0.006667,0.0,0.8409319,52.6,14.524,21.203,8.921,5.169,-4.724,-6.061,-6.062,473.843,-0.173,244.135,-3.396,8.224,0.959,2,0.925,3,92.14,0.0,0.0,81.861,7,1,0,20,0,15,2,36,0.00371772122874425
c1cccc2[nH]c(c3c12)C(C(=O)OC(C)C)=CN(CC3(C)C)C(=O)c4ccc(cc4)OCCCN5CCN(C)CC5,45104951,2,45104951,"InChI=1S/C33H42N4O4/c1-23(2)41-32(39)27-21-37(22-33(3,4)29-26-9-6-7-10-28(26)34-30(27)29)31(38)24-11-13-25(14-12-24)40-20-8-15-36-18-16-35(5)17-19-36/h6-7,9-14,21,23,34H,8,15-20,22H2,1-5H3",IDTFOXWTCZBUNZ-UHFFFAOYSA-N,558.320606,C33H42N4O4,558.71098,78.1,460833,0,11.0,"propan-2-yl 1,1-dimethyl-3-[4-[3-(4-methylpiperazin-1-yl)propoxy]benzoyl]-2,6-dihydroazepino[4,5-b]indole-5-carboxylate","1,1-dimethyl-3-[4-[3-(4-methylpiperazino)propoxy]benzoyl]-2,6-dihydroazepin[4,5-b]indole-5-carboxylic acid isopropyl ester",0,0,ligprep_3.sdf,132,55137,0,W2NIXTFbY0hdW2NIXVtjSF1jMmMxW25IXWMoYzIzKUMoQyg9TylPW0NIXShbQ0gzXSlbQ0gzXSk9W0NIXU4oW0NIMl1DMyhbQ0gzXSlbQ0gzXSlDKD1PKWM0W2NIXVtjSF1jKFtjSF1bY0hdNClPW0NIMl1bQ0gyXVtDSDJdTjVbQ0gyXVtDSDJdTihbQ0gzXSlbQ0gyXVtDSDJdNQ==,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,1.0,2.7622,0.0,2.7622,2.0348,2.03483130960571,0,0,,,S-OPLS,86.398173,1,45104951-3,175.374145507813,38.8923721313477,73.4116516113281,89.5491638183594,0.561937630176544,170.713516235352,-111.330268859863,-86.4242248535156,1,0.0490477122366428,45104951,5.1,,This compound has an ester and may undergo hydrolysis at high or low pH.,2,2,0,0,0,8,1,1,558.719,5.404,971.057,614.947,91.654,264.455,0.0,1816.963,0.0,8.75,0.0160704,0.0,0.7415682,63.95,18.053,26.037,11.332,5.509,-6.296,-5.654,-8.427,83.28,-0.233,41.242,-5.634,8.058,0.871,3,1.212,1,67.659,0.0,0.0,86.65,8,2,1,26,0,21,6,41,6.56383270758988e-07
